COUNTY_ID,COUNTY_NAME,POPULATION
1,Adair County,7682
3,Adams County,4029
5,Allamakee County,14330
7,Appanoose County,12887
9,Audubon County,6119
11,Benton County,26076
13,Black Hawk County,131090
15,Boone County,26306
17,Bremer County,24276
19,Buchanan County,20958
21,Buena Vista County,20260
23,Butler County,14867
25,Calhoun County,9670
27,Carroll County,20816
29,Cass County,13956
31,Cedar County,18499
33,Cerro Gordo County,44151
35,Cherokee County,12072
37,Chickasaw County,12439
39,Clarke County,9286
41,Clay County,16667
43,Clayton County,18129
45,Clinton County,49116
47,Crawford County,17096
49,Dallas County,66135
51,Davis County,8753
53,Decatur County,8457
55,Delaware County,17764
57,Des Moines County,40325
59,Dickinson County,16667
61,Dubuque County,93653
63,Emmet County,10302
65,Fayette County,20880
67,Floyd County,16303
69,Franklin County,10680
71,Fremont County,7441
73,Greene County,9336
75,Grundy County,12453
77,Guthrie County,10954
79,Hamilton County,15673
81,Hancock County,11341
83,Hardin County,17534
85,Harrison County,14928
87,Henry County,20145
89,Howard County,9566
91,Humboldt County,9815
93,Ida County,7089
95,Iowa County,16355
97,Jackson County,19848
99,Jasper County,36842
101,Jefferson County,16843
103,Johnson County,130882
105,Jones County,20638
107,Keokuk County,10511
109,Kossuth County,15543
111,Lee County,35862
113,Linn County,211226
115,Louisa County,11387
117,Lucas County,8898
119,Lyon County,11581
121,Madison County,15679
123,Mahaska County,22381
125,Marion County,33309
127,Marshall County,40648
129,Mills County,15059
131,Mitchell County,10776
133,Monona County,9243
135,Monroe County,7970
137,Montgomery County,10740
139,Muscatine County,42745
141,O'Brien County,14398
143,Osceola County,6462
145,Page County,15932
147,Palo Alto County,9421
149,Plymouth County,24986
151,Pocahontas County,7310
153,Polk County,430640
155,Pottawattamie County,93158
157,Poweshiek County,18914
159,Ringgold County,5131
161,Sac County,10350
163,Scott County,165224
165,Shelby County,12167
167,Sioux County,33704
169,Story County,89542
171,Tama County,17767
173,Taylor County,6317
175,Union County,12534
177,Van Buren County,7570
179,Wapello County,35625
181,Warren County,46225
183,Washington County,21704
185,Wayne County,6403
187,Webster County,38013
189,Winnebago County,10866
191,Winneshiek County,21056
193,Woodbury County,102172
195,Worth County,7598
197,Wright County,13229
